"","ko05340","ko00564","ko00680","ko00562","ko03030","ko00561","ko00440","ko00250","ko00740","ko04111","ko04940","ko00010","ko05412","ko00195","ko03450","ko00760","ko00920","ko00311","ko00310","ko04146","ko00600","ko04141","ko04142","ko00604","ko04260","ko03040","ko04110","ko05142","ko00909","ko00513"
"L1S105",4341.22,56127.49,105304,11370.78,71397.59,36120.07,4710.86,118469.57,24640.45,0,6333.75,105022.07,900,47104.36,881.66,45273.07,34018.23,966,10235.89,18952.72,39142.94,10979.87,28815.96,12798.97,903,1,0,38,0,79
"L1S140",5677.42,78085.86,165419.77,17921.67,103065.46,44608.44,10546.5,184760.12,37062.67,0,10507.92,152238.72,1361,55440,1205,64510.77,56762.59,987,16914.42,33569.5,69416,17955.25,61986.25,32778.25,1394,0,0,63.5,0,40
"L1S208",7061.63,80009.03,167534.06,17391.74,108540.44,48131.08,11465.43,189484.22,39606.41,0,10801.63,158158.03,943,61116.84,745,68295.94,56825.51,684.4,16154.26,34118.35,66183.03,16652.7,52650.3,29415.8,930,7,0,6,0,21
"L1S257",5252.88,58836.75,120400.13,12327.24,80382.11,35316.28,8069.35,135927.56,28542.34,0,7750.05,112753,531,45679.16,432.66,49386.63,39419.98,353.4,11475.68,23904.29,43624.98,11553.73,32999.05,18459.94,531,0,0,0,0,27
"L1S281",5311.22,61395.67,129662.39,12484.23,84197.58,38992.64,9231.3,147821.75,31529.66,0,8155.14,120067.5,337,51254.52,343.66,53733.51,43155.85,653,12117.91,24194.41,43137.99,12100.79,32451.8,19424.92,337,0,0,5,0,24
"L1S57",4965.23,67872.89,133923.31,14660.7,88090.15,43911.23,5388.22,146384.79,30485.09,0,7463.63,127092.78,1181,55997.4,1134,54377.4,41515.65,772,12445.7,22532.31,46143.8,12984.73,34418.55,14996.71,1181,0,0,0,0,35
"L1S76",4237.34,59846.87,111628.93,11770.17,71558.28,37988.46,4919.08,121079.47,25385.25,0,6539.1,107911.63,981,46582.52,972,45926.06,35726.4,1165,11217.2,18785.69,39547.11,11785.22,30326.75,13212.97,981,0,0,188,0,29
"L1S8",3689.54,60678.81,105522.45,12961.63,71102.99,31332.69,3901.71,116897.92,23825.48,0,6981.4,102841.33,1745,36373.32,1710,43345.35,38099.07,613,12029.83,20932.52,50544.64,13183.64,47448.47,19942.97,1709,0,0,245,0,62
"L2S155",4574.74,39223.16,59997.65,12232.96,44150.4,25821.32,4566.53,61950,16909.19,0,3708,68523.66,0,23624.15,499.3,32260.27,24991.41,1929.71,24072.54,19607.17,2297.76,1982.94,1100.28,322,991.6,0,0,1014.11,0,0
"L2S175",4107.71,32559.48,53369.3,9819.1,44012.51,19388.73,3861.17,53248.07,13261.93,0,3870.74,65754.73,0,21181.78,605,26959.26,22354.13,1036.07,14483.6,15649.9,3983.09,1987.52,2799.88,1293.74,699.6,63.8,0,1246.88,0,0
"L2S204",4779.96,50831.64,72203.16,23867.41,50402.94,33397.73,8948.54,84564.37,19707.52,0,3015.4,83838.3,16,26516.74,3929.48,42685.93,38863.32,3476.9,38638.31,31045.75,6607.4,3534.64,3927.3,1841.27,4881.96,4.8,0,1912.47,92,32
"L2S222",3468.54,31696.7,49822.27,9306.83,37439.9,18577.47,3706.92,50026.63,12990.08,0,2617.92,55550.82,4,25170.33,1365.14,26717.84,20378.01,1130.58,16418.55,15980.71,3277.49,2919.05,2781.83,1250.57,2422.33,6.4,0,1022.98,4,7
"L2S240",2977.42,31764.52,47626.12,6759,40740.22,13983.43,2837.75,42433.13,14492.3,0,2814.67,50671.22,3,20931.75,3,21841.83,19043.45,668.24,7645.37,9922.94,4328.92,1742.25,2006.59,1328.25,1309.8,388.6,0,251,0,0
"L2S309",1308.32,12047.27,21367.19,3566.79,15810.37,7997.21,1287.15,19266.79,4657.09,0,1194.28,26345.74,12,8818.64,271.76,8971.91,8707.27,338.33,5484.63,4773.69,1405.53,683.69,1410.65,692.16,250.34,9.4,0,265.38,0,4
"L2S357",2276.01,21737.18,34614.41,7724.16,26202.38,14592.43,2991.2,34043.63,8050.22,0,1859.82,43626.4,0,12950.96,768.86,16460.72,15886.45,994,12509.18,10397.34,1719.53,1040.52,1402.84,620.5,1107.32,24.2,0,585.29,0,0
"L2S382",3113.34,27920.66,47752.73,5517.92,39570.46,15888.71,2532.55,45205.34,13040.94,10,3025.45,52538.39,0,19754.93,91.95,21969.35,16872.48,570.5,8252.11,10643.93,3702.66,2803.91,2299.54,1189.84,1212.21,16,10,404.25,0,5.5
"L3S242",507.79,8400.91,14604.06,1811.52,9571.47,4135.76,491.1,15885.78,3188.48,0,945.44,14146.19,263,4776.28,234,5935.84,5232.05,100.8,1594.64,2893.08,6813.63,1865.86,6492.03,2700.71,247,0,0,41,0,18
"L3S294",1732.33,13753.3,20787.38,4317.55,15262.9,8893.85,1610.23,22426.3,5922.17,0,1317.6,24489.67,9,10542.24,96,11389,9166.15,610.99,9082.11,7397.77,553.28,750.23,276.44,115.33,314.2,0,0,339.57,0,0
"L3S313",952.78,8248.29,13612.65,2353.61,11027.54,5073.02,908.02,12975.04,3162,0,934.32,17592.22,8,5058.24,56,6263.11,5681.56,203.14,3667.39,3570.53,652.1,355.59,557.79,276.05,204,0,0,264.03,0,0
"L3S341",1392.54,14367.25,21023.79,5960.83,14878.11,9449.16,2342.01,23567.21,5591.5,0,968.21,24990.76,4,8321.76,975,11686.45,10603.73,813.83,9606.11,7987.67,1894.46,1047.95,1261.52,686.66,1177.2,11.4,0,429.5,19,0
"L3S360",1332.74,11084.4,17639.1,4020.45,12359.63,7057.07,1585.24,18841.28,4713.35,0,881.21,20056.54,0,10558.32,578.5,9990.53,7711.59,491.18,6361.35,6274.8,1068.67,987.83,813.51,383.17,967.59,3.2,0,337,0,7
"L3S378",942,13670,28384.25,3013.25,17818.75,7815.75,1751.5,31697.25,6409,0,1791.5,26012.5,235,10131,201,11038.75,9653.5,227,3005,5677.5,11622.25,3095.25,10170.25,5344,253,0,0,6,0,9
"L4S112",8036.97,76965.5,124052.85,24693.42,93874.08,51310.22,9838.19,120405.49,28447.86,0,6865.58,161093.58,0,51205.06,2448.14,56974.91,55597.03,3133.58,41318.52,35228.29,6287.88,4033.33,5344.22,2637.84,3063.64,66,4,1832.07,0,4
"L4S137",7274.11,69820.39,114754.83,17418.62,93588.03,43542.23,7116.42,107058.87,27535.84,15,6757.39,137732.93,0,47221.93,757.5,51405.79,44527.83,2998.13,33373.1,32499.91,8615.34,5491.02,7568.56,3348.08,3182.21,67,15,1700,0,0
