"Genus","Total.Mean","Total.N","Total.Sd","gut.Mean","gut.N","gut.Sd","gut.se","gut.lower","gut.upper","gut.CI95per","left palm.Mean","left palm.N","left palm.Sd","left palm.se","left palm.lower","left palm.upper","left palm.CI95per","right palm.Mean","right palm.N","right palm.Sd","right palm.se","right palm.lower","right palm.upper","right palm.CI95per","tongue.Mean","tongue.N","tongue.Sd","tongue.se","tongue.lower","tongue.upper","tongue.CI95per"
"1-68",0.000596623944877347,34,0.00149233285639631,0,8,0,0,0,0,0,0.000697432496796643,8,0.00101356738952998,0.000358350187163098,-4.92096389621594e-06,0.0013997859574895,0.00140470692138572,0.00163397268349518,9,0.0025120760318774,0.000837358677292467,-7.2201661401503e-06,0.00327516553313052,0.00328238569927067,0,9,0,0,0,0,0
"AF12",1.05797714769361e-05,34,6.16901385404708e-05,0,8,0,0,0,0,0,0,8,0,0,0,0,0,3.99680255795364e-05,9,0.000119904076738609,3.99680255795364e-05,-3.83678650895305e-05,0.000118303916248603,0.000156671781338134,0,9,0,0,0,0,0
"Abiotrophia",0.000323757193298869,34,0.00123099500173462,0,8,0,0,0,0,0,0.000611396429444852,8,0.00172929024501479,0.000611396429444852,-0.000586918552543442,0.00180971141143315,0.00239662996397659,0.000679619237400304,9,0.00178500156219685,0.000595000520732282,-0.000486560354017547,0.00184579882881815,0.0023323591828357,0,9,0,0,0,0,0
"Acanthamoeba",1.05797714769361e-05,34,6.16901385404708e-05,0,8,0,0,0,0,0,0,8,0,0,0,0,0,3.99680255795364e-05,9,0.000119904076738609,3.99680255795364e-05,-3.83678650895305e-05,0.000118303916248603,0.000156671781338134,0,9,0,0,0,0,0
"Acidovorax",0.000778367977261777,34,0.00260500605848242,0,8,0,0,0,0,0,0.000858341810783316,8,0.00242775725992329,0.000858341810783316,-0.000823977224776877,0.00254066084634351,0.00336463807112039,0.00217753074895932,9,0.00439761569973072,0.00146587189991024,-0.000695525380814055,0.0050505868787327,0.00574611225954675,0,9,0,0,0,0,0
"Acinetobacter",0.0161201228797676,34,0.0520669214461255,0,8,0,0,0,0,0,0.032445333199714,8,0.0708211898233485,0.0250390717878947,-0.0166303457108726,0.0815210121103006,0.0981513578211732,0.0320579458127094,9,0.0754292017509447,0.0251430672503149,-0.0172215604587763,0.0813374520841951,0.0985590125429715,0,9,0,0,0,0,0
"Actinomyces",0.00235638243278789,34,0.00465097996794167,0,8,0,0,0,0,0,0.000880853006381573,8,0.00189679156214932,0.000670617088046603,-0.000433532333606895,0.00219523834637004,0.00262877067997693,0.000592459290988915,9,0.00106768949913447,0.00035589649971149,-0.000105085030669476,0.00129000361264731,0.00139508864331678,0.00752644944942614,9,0.00660617047715582,0.00220205682571861,0.00321049737910708,0.0118424015197452,0.00863190414063812
"Actinomycetospora",8.35610850641422e-05,34,0.000343624968627642,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0.000315675210242315,9,0.000636113575917363,0.000212037858639121,-9.99113560493573e-05,0.000731261776533988,0.000831173132583345,0,9,0,0,0,0,0
"Adhaeribacter",0.000104694854650073,34,0.000358016492591099,0,8,0,0,0,0,0,8.5499316005472e-05,8,0.000241828584537123,8.54993160054719e-05,-8.2076264068062e-05,0.000253074896079006,0.000335151160147068,0.000319514503339857,9,0.000634017147736459,0.000211339049245486,-9.47024217082333e-05,0.000733731428387947,0.00082843385009618,0,9,0,0,0,0,0
"Aeromicrobium",0.000247379238543144,34,0.0010095252889055,0,8,0,0,0,0,0,0.000474083438685209,8,0.00134091045737019,0.000474083438685209,-0.000455103026804703,0.00140326990417512,0.00185837293097982,0.000513136288998358,9,0.00153940886699507,0.000513136288998358,-0.00049259235659896,0.00151886493459568,0.00201145729119464,0,9,0,0,0,0,0
"Aeromonas",1.50922437940694e-05,34,8.80021475484959e-05,0,8,0,0,0,0,0,0,8,0,0,0,0,0,5.70151432220398e-05,9,0.000171045429666119,5.70151432220398e-05,-5.47324840665511e-05,0.000168762770510631,0.000223495254577182,0,9,0,0,0,0,0
"Aggregatibacter",0.00126335880400655,34,0.00332784016606247,0,8,0,0,0,0,0,0.0028740656301217,8,0.00571760171693229,0.00202147747308333,-0.00108795741268067,0.00683608867292407,0.00792404608560474,0.00141549467478078,9,0.00261280020807198,0.00087093340269066,-0.000291503427425835,0.00312249277698739,0.00341399620441323,0.000802469135802469,9,0.00240740740740741,0.000802469135802469,-0.000770341469075352,0.00237527974068029,0.00314562120975564
"Akkermansia",0.00412817182830169,34,0.0151850976314327,0.014339602065154,8,0.0289983814016002,0.0102524760662527,-0.00575488177706017,0.0344340859073681,0.0401889676844283,0,8,0,0,0,0,0,0.00284900284900285,9,0.00854700854700855,0.00284900284900285,-0.00273494012689474,0.00843294582490044,0.0111678859517952,0,9,0,0,0,0,0
"Alcaligenes",3.69146717362816e-05,34,0.000215247675108263,0,8,0,0,0,0,0,0.000156887354879197,8,0.000443744450070002,0.000156887354879197,-0.000150606210313783,0.000464380920072176,0.00061498713038596,0,9,0,0,0,0,0,0,9,0,0,0,0,0
"Alicyclobacillus",7.96634255287093e-05,34,0.000257605729356827,0,8,0,0,0,0,0,0.000244451503187568,8,0.00047910739549809,0.000169390044136662,-8.75468826599405e-05,0.000576449889035076,0.000663996771695016,8.36604936083974e-05,9,0.000179521968657026,5.98406562190086e-05,-3.36250373921023e-05,0.000200946024608897,0.000234571062000999,0,9,0,0,0,0,0
"Alistipes",0.00444297689262266,34,0.0113039268311408,0.0157801698080578,8,0.01804646900462,0.00638039030481982,0.00327483460330246,0.0282855050128132,0.0250106704095108,0,8,0,0,0,0,0,0.00275776176496753,9,0.00827328529490259,0.00275776176496753,-0.00264735197231044,0.0081628755022455,0.0108102274745559,0,9,0,0,0,0,0
"Allobaculum",0.000106246634775032,34,0.000467037151620158,0,8,0,0,0,0,0,0.000316656111462951,8,0.000895638734878464,0.000316656111462951,-0.000303978462488934,0.000937290685414837,0.00124126914790377,0.000119904076738609,9,0.000359712230215827,0.000119904076738609,-0.000115103595268592,0.00035491174874581,0.000470015344014401,0,9,0,0,0,0,0
"Alloiococcus",0.00108511315687414,34,0.00456449299468291,0,8,0,0,0,0,0,0.00370635915501114,8,0.0091429364529223,0.00323251618290952,-0.00262925614293441,0.0100419744529567,0.0126712305958911,0.000804774899292389,9,0.00182677717890168,0.000608925726300561,-0.000388697593516604,0.00199824739210138,0.00238694498561799,0,9,0,0,0,0,0
"Anaerobiospirillum",4.88151451139083e-05,34,0.000200087650425438,0,8,0,0,0,0,0,0.000117665516159398,8,0.000332808337552501,0.000117665516159398,-0.000112954657735337,0.000348285690054132,0.00046124034778947,7.98212005108557e-05,9,0.000239463601532567,7.98212005108557e-05,-7.66254776931716e-05,0.000236267878714883,0.000312893356408055,0,9,0,0,0,0,0
"Anaerococcus",0.0117109130748702,34,0.0171616104178436,0,8,0,0,0,0,0,0.02357707269069,8,0.0167443588993167,0.00592002486216409,0.0119740371732667,0.0351801082081133,0.0232060710348466,0.0232838292244518,9,0.0196636187027554,0.00655453956758512,0.0104371677367422,0.0361304907121614,0.0256933229754191,0,9,0,0,0,0,0
"Anaerostipes",7.63539649229476e-05,34,0.000325891572192375,0.000324504350922527,8,0.000639259439367018,0.000226012342256964,-0.000118471699962663,0.000767480401807718,0.000885952101770381,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0
"Arcanobacterium",4.22582826233942e-05,34,0.000246406013135789,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0.000159642401021711,9,0.000478927203065134,0.000159642401021711,-0.000153250955386343,0.000472535757429766,0.000625786712816109,0,9,0,0,0,0,0
"Arcobacter",3.69146717362816e-05,34,0.000215247675108263,0,8,0,0,0,0,0,0.000156887354879197,8,0.000443744450070002,0.000156887354879197,-0.000150606210313783,0.000464380920072176,0.00061498713038596,0,9,0,0,0,0,0,0,9,0,0,0,0,0
"Arthrobacter",0.000390916784271486,34,0.0014533876140274,0,8,0,0,0,0,0,0.000902102290555381,8,0.00255153058790251,0.000902102290555381,-0.000865985709304253,0.00267019029041502,0.00353617599971927,0.000674928037865274,9,0.00152973027152831,0.000509910090509438,-0.000324477374886783,0.00167433345061733,0.00199881082550411,0,9,0,0,0,0,0
"Atopobium",0.00032102056089379,34,0.000830216775793415,0,8,0,0,0,0,0,0.000458547322083639,8,0.00129696768376109,0.000458547322083639,-0.000440188914407581,0.00135728355857486,0.00179747247298244,0.00010183299389002,9,0.000305498981670061,0.00010183299389002,-9.77560065723069e-05,0.000301421994352348,0.000399178000924655,0.000703313727634395,9,0.00096828453456133,0.000322761511520443,7.07127894586164e-05,0.00133591466581017,0.00126520187635156
