"Phylum","Total.Mean","Total.N","Total.Sd","gut.Mean","gut.N","gut.Sd","gut.se","gut.lower","gut.upper","gut.CI95per","left palm.Mean","left palm.N","left palm.Sd","left palm.se","left palm.lower","left palm.upper","left palm.CI95per","right palm.Mean","right palm.N","right palm.Sd","right palm.se","right palm.lower","right palm.upper","right palm.CI95per","tongue.Mean","tongue.N","tongue.Sd","tongue.se","tongue.lower","tongue.upper","tongue.CI95per"
"Acidobacteria",6.03993768184525e-05,34,0.000256639383071738,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0.000228175423536376,9,0.000478142652937057,0.000159380884312352,-8.42053695399795e-05,0.000540556216612732,0.000624761586152711,0,9,0,0,0,0,0
"Actinobacteria",0.0848597101886034,34,0.10570318961694,0.000211526661994281,8,0.000354118990018737,0.00012519996959459,-3.38607692766257e-05,0.000456914093265187,0.000490774862541813,0.151828621586921,8,0.112397731438204,0.0397385990449692,0.0739423986627036,0.229714844511138,0.155772445848435,0.142953933783767,9,0.130284445937406,0.0434281486458021,0.0578363265227431,0.228071541044791,0.170235214522048,0.042480395151921,9,0.0243638869998238,0.00812129566660795,0.0265629481375682,0.0583978421662738,0.0318348940287056
"Bacteroidetes",0.261699371855131,34,0.254723237401029,0.612891816780915,8,0.0514062542126638,0.0181748554745871,0.577269754626503,0.648513878935326,0.0712441243088224,0.0878707035921461,8,0.0580136093169552,0.0205109082745631,0.0476700620837979,0.128071345100494,0.0804012830166963,0.206364293113437,9,0.275212185923752,0.0917373953079172,0.0265623022744057,0.386166283952469,0.359603981678063,0.159377760229893,9,0.133684750203038,0.0445615834010125,0.0720386616698309,0.246716858789956,0.174678197120125
"Chloroflexi",4.88151451139083e-05,34,0.000200087650425438,0,8,0,0,0,0,0,0.000117665516159398,8,0.000332808337552501,0.000117665516159398,-0.000112954657735337,0.000348285690054132,0.00046124034778947,7.98212005108557e-05,9,0.000239463601532567,7.98212005108557e-05,-7.66254776931716e-05,0.000236267878714883,0.000312893356408055,0,9,0,0,0,0,0
"Crenarchaeota",3.82539520397591e-05,34,0.000160901631523915,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0.000144514929927979,9,0.000299195040051333,9.97316800171111e-05,-5.09555710232318e-05,0.000339985430879189,0.000390941001902421,0,9,0,0,0,0,0
"Cyanobacteria",0.0173631594527862,34,0.0316678310348971,0,8,0,0,0,0,0,0.0204343555467194,8,0.0196867149834874,0.00696030483205537,0.00679240875447075,0.034076302338968,0.0272838935844973,0.033955904412293,9,0.0402447790753976,0.0134149263584659,0.00766313189444278,0.0602486769301431,0.0525855450357004,0.0134743819233709,9,0.0392471761305467,0.0130823920435156,-0.012166635313553,0.0391153991602948,0.0512820344738477
"FBP",1.34116574126231e-05,34,7.82027292031504e-05,0,8,0,0,0,0,0,5.6999544003648e-05,8,0.000161219056358082,5.6999544003648e-05,-5.4717509378708e-05,0.000168716597386004,0.000223434106764712,0,9,0,0,0,0,0,0,9,0,0,0,0,0
"Firmicutes",0.31300930200895,34,0.12000940194139,0.347796941655161,8,0.0756006911943785,0.0267288807029676,0.295409298130276,0.400184585180045,0.104775287049768,0.330274972032236,8,0.159480376609206,0.056384827883277,0.219762740106523,0.440787203957949,0.221024463851425,0.322941870289632,9,0.15065805671287,0.0502193522376235,0.224513748576959,0.421369992002305,0.196856243425346,0.25680712513316,9,0.0654438207486191,0.0218146069162064,0.214051281240497,0.299562969025823,0.0855116877853257
"Fusobacteria",0.048654867508797,34,0.0548654251977818,0.000551392041996654,8,0.0013952231248812,0.00049328586643589,-0.000415430490300326,0.00151821457429363,0.00193364506459396,0.0598775545459816,8,0.0514312289462183,0.0181836853763144,0.0242381861021977,0.0955169229897654,0.0712787368875677,0.0254159189334375,9,0.0254918145114471,0.00849727150381569,0.00876157281910027,0.0420702650477748,0.0333086922286745,0.104676739132704,9,0.0535991728172499,0.0178663909390833,0.0696592563583879,0.13969422190702,0.0700349655486321
"GN02",6.61436956080713e-05,34,0.000197919257354129,0,8,0,0,0,0,0,0.000255652457861798,8,0.000353973649122976,0.000125148583828102,1.03657408425262e-05,0.00050093917488107,0.000490573434038544,2.26295541977823e-05,9,6.78886625933469e-05,2.26295541977823e-05,-2.17235570160682e-05,6.69826654116328e-05,8.8706222427701e-05,0,9,0,0,0,0,0
"Planctomycetes",3.37414797226258e-05,34,0.000151812784053457,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0.000127467812285475,9,0.000285707715852252,9.52359052840841e-05,-5.91911321063972e-05,0.000314126756677348,0.000373317888783745,0,9,0,0,0,0,0
