function	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	6916.52	7767.67	8853.33	6502.04	7234.69	8029.519999999999	6698.97	4780.89	3121.49	3273.8499999999995	6262.02	3637.33	2785.87	1203.25	2382.29	3018.74	611.6600000000001	1096.43	839.76	1706.44	1223.27	1416.75	8224.67	7812.94	9306.74	1388.37	940.79	1454.15	1169.11	1314.9399999999998	950.77	3761.71	3042.48	4866.35
1.1.1.136-RXN	26.0	84.67	110.4	90.6	92.0	0.0	4.0	9.0	31.0	32.47	34.61	44.73	259.27	40.73	40.3	64.67	0.0	5.67	6.33	14.4	10.2	12.0	151.24	134.0	344.45000000000005	0.0	101.6	31.0	92.6	105.8	89.2	717.8000000000001	350.6	268.2
1.1.1.145-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.215-RXN	38.0	71.0	6.0	0.0	5.0	0.0	188.0	245.0	853.6	174.6	1578.0	335.76	174.0	45.38	304.0	32.67	41.0	331.4	30.0	351.0	163.32999999999998	12.0	850.76	512.6700000000001	400.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.220-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	34.0	3.0	8.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	12.0	23.0	10.0	8.0	21.0	38.0	18.0	7.0	73.0	31.0	107.0
1.1.1.251-RXN	38.0	60.0	6.0	0.0	5.0	0.0	188.0	245.0	14.0	26.0	16.0	26.0	0.0	0.0	11.0	0.0	41.0	0.0	0.0	18.0	0.0	6.0	97.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.253-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	32.0	24.0	346.0	14.0	0.0	0.0	5.0	0.0	29.0	8.0	5.0	143.0	0.0	45.0	20.0	87.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.261-RXN	410.0	224.0	551.4	289.6	270.0	409.0	296.0	223.0	21.66	28.66	4.0	6.66	0.0	32.66	12.0	23.34	13.0	4.66	7.34	8.34	0.0	35.0	91.0	26.66	211.78	0.0	0.0	0.0	0.0	0.0	0.0	1.6	1.0	0.0
1.1.1.264-RXN	0.0	52.0	10.0	26.0	15.0	0.0	0.0	0.0	92.7	53.8	58.0	75.43	0.0	13.0	0.0	0.0	0.0	40.4	26.2	64.0	30.0	9.0	135.0	72.0	225.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.271-RXN	2558.87	6884.0	6515.4	4078.16	4496.91	3045.6100000000006	2688.45	3374.57	263.94	394.86	3160.58	716.3	503.75	193.8	706.0	739.0	479.39	113.0	28.72	739.14	384.0	1136.25	1830.72	1384.0	1703.66	527.86	143.0	784.5	206.5	496.0	153.5	412.6	392.5	2588.0
